"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15716","Add New User with ESS role and Disabled status","","Sun Jun 01 18:20:32 IDT 2025","passed","Sun Jun 01 18:20:48 IDT 2025","","test_add_new_user","",""
"","23680","Add New employee with full name, Enabled status, username, password and confirm password","","Sun Jun 01 20:33:07 IDT 2025","passed","Sun Jun 01 20:33:31 IDT 2025","","","",""
"","34022","Add New employee with full name, Enabled status, username, password and confirm password","","Sun Jun 01 20:31:35 IDT 2025","passed","Sun Jun 01 20:32:09 IDT 2025","","test_add_new_employee","",""
"","34088","Add New employee with full name Disable status","","Mon Jun 02 19:42:57 IDT 2025","passed","Mon Jun 02 19:43:31 IDT 2025","","test_add_new_employee","",""
"","34216","Add New employee with full name Enable status","","Mon Jun 02 19:43:35 IDT 2025","passed","Mon Jun 02 19:44:10 IDT 2025","","test_add_new_employee","",""
"","23585","Add New employee with full name, Enabled status, username, password and confirm password","","Sun Jun 01 20:30:44 IDT 2025","passed","Sun Jun 01 20:31:08 IDT 2025","","","",""
"","0","Add New employee with full name, Enabled status, username, password and confirm password","","Sun Jun 01 20:06:55 IDT 2025","skipped","Sun Jun 01 20:06:55 IDT 2025","","","",""
"","12588","Add New User with admin role and Enabled status","","Sun Jun 01 20:07:39 IDT 2025","broken","Sun Jun 01 20:07:51 IDT 2025","","test_add_new_user","",""
"","10160","Move to PIM page","","Sun Jun 01 18:12:42 IDT 2025","passed","Sun Jun 01 18:12:52 IDT 2025","","test_side_panel","",""
"","41868","Add New employee with full name Enable status","","Sun Jun 01 21:03:04 IDT 2025","passed","Sun Jun 01 21:03:46 IDT 2025","","","",""
